settlement_id,settled_on,gateway_ref_id,bank_utr,amount_received,source,narration,batch_id
STL-00013,2026-08-15,pay_000013F,UTR000400013,360.00,RAZORPAY,RAZORPAY SETTLEMENT UTR000400013,1
STL-00051-D,2026-08-14,pay_000051A,UTR000900051,599.50,RAZORPAY,RAZORPAY SETTLEMENT REPOST UTR000400051,2
STL-00027,2026-08-11,,UTR000400027,2499.99,BANK,NEFT CR 000400027 XXXXX,2
STL-00063,2026-08-15,,UTR000400063,349.50,BANK,NEFT CR 000400063 XXXXX,2
STL-00084,2026-08-11,,UTR000400084,869.50,BANK,NEFT CR-DELHIVERY COD REMIT-UTR000400084,2
STL-00034,2026-08-09,pay_000034C,UTR000400034,883.10,RAZORPAY,RAZORPAY SETTLEMENT UTR000400034,1
STL-X1001,2026-08-01,,UTR000700101,8420.00,BANK,NEFT CR-STRIPE PAYMENTS-UTR000700101,1
STL-00064,2026-08-23,pay_000064A,UTR000400064,1896.50,RAZORPAY,RAZORPAY SETTLEMENT UTR000400064,2
STL-00067,2026-08-15,pay_000067C,UTR000400067,1249.99,RAZORPAY,RAZORPAY SETTLEMENT UTR000400067,2
STL-00057,2026-08-24,,UTR000400057,9949.50,BANK,IMPS/BLUEDART/COD-SETL/0057,2
STL-00047,2026-08-29,pay_000047A,UTR000400047,1249.99,RAZORPAY,RAZORPAY SETTLEMENT UTR000400047,1
STL-00051,2026-08-13,pay_000051A,UTR000400051,599.50,RAZORPAY,RAZORPAY SETTLEMENT UTR000400051,2
STL-X2002,2026-08-25,,UTR000700202,6160.00,BANK,IMPS/UTR000700202/MISC CREDIT,2
STL-BULK02,2026-08-25,,UTR000850002,3410.56,BANK,IMPS/BLUEDART/COD-SETL/BATCH02,2
STL-00088,2026-08-13,pay_000088D,UTR000400088,1227.39,RAZORPAY,RAZORPAY SETTLEMENT UTR000400088,2
STL-00053,2026-08-29,,UTR000400053,461.25,BANK,IMPS/BLUEDART/COD-SETL/0053,2
STL-00082,2026-08-06,pay_000082B,UTR000400082,2499.50,RAZORPAY,RAZORPAY SETTLEMENT UTR000400082,2
STL-X2001,2026-08-07,,UTR000700201,2991.00,BANK,IMPS/UTR000700201/MISC CREDIT,2
STL-00030,2026-08-20,,UTR000400030,2499.50,BANK,RTGS-ECOMEXP-CODCOLL-400030,2
STL-00044,2026-08-24,pay_000044D,UTR000400044,6499.50,RAZORPAY,RAZORPAY SETTLEMENT UTR000400044,1
STL-00010,2026-08-07,pay_000010F,UTR000400010,897.99,RAZORPAY,RAZORPAY SETTLEMENT UTR000400010,1
STL-00043,2026-08-05,pay_000043D,UTR000400043,6384.96,RAZORPAY,RAZORPAY SETTLEMENT UTR000400043,1
STL-00086,2026-08-11,pay_000086A,UTR000400086,899.99,RAZORPAY,RAZORPAY SETTLEMENT UTR000400086,2
STL-00092,2026-08-19,pay_000092E,UTR000400092,1249.99,RAZORPAY,RAZORPAY SETTLEMENT UTR000400092,2
STL-00014,2026-08-04,pay_000014C,UTR000400014,6499.00,RAZORPAY,RAZORPAY SETTLEMENT UTR000400014,1
STL-00087,2026-08-04,pay_000087F,UTR000400087,899.99,RAZORPAY,RAZORPAY SETTLEMENT UTR000400087,2
STL-00094,2026-08-09,pay_000094B,UTR000400094,1227.39,RAZORPAY,RAZORPAY SETTLEMENT UTR000400094,2
STL-00089,2026-08-28,pay_000089B,UTR000400089,599.00,RAZORPAY,RAZORPAY SETTLEMENT UTR000400089,2
STL-00025,2026-08-09,,UTR000400025,899.00,BANK,NEFT CR-PRIYA DESAI-UTR000400025,1
STL-00023,2026-08-31,pay_000023D,UTR000400023,6499.00,RAZORPAY,RAZORPAY SETTLEMENT UTR000400023,1
STL-00065,2026-08-22,,UTR000400065,329.00,BANK,RTGS-ECOMEXP-CODCOLL-400065,2
STL-00055,2026-08-26,,UTR000400055,9979.00,BANK,RTGS-ECOMEXP-CODCOLL-400055,2
STL-00066,2026-08-19,,UTR000400066,1899.00,BANK,NEFT CR-PRIYA DESAI-UTR000400066,2
STL-00076,2026-08-31,,UTR000400076,2499.50,BANK,NEFT CR-KARTIK JOSHI-UTR000400076,2
STL-00071,2026-08-28,pay_000071B,UTR000400071,3999.99,RAZORPAY,RAZORPAY SETTLEMENT UTR000400071,2
STL-00040,2026-08-08,pay_000040F,UTR000400040,588.41,RAZORPAY,RAZORPAY SETTLEMENT UTR000400040,1
STL-00098,2026-08-02,pay_000098D,UTR000400098,1899.50,RAZORPAY,RAZORPAY SETTLEMENT UTR000400098,2
STL-00075,2026-08-08,pay_000075B,UTR000400075,344.07,RAZORPAY,RAZORPAY SETTLEMENT UTR000400075,2
STL-00056,2026-08-31,pay_000056D,UTR000400056,1873.10,RAZORPAY,RAZORPAY SETTLEMENT UTR000400056,2
STL-00085,2026-08-05,pay_000085A,UTR000400085,1899.50,RAZORPAY,RAZORPAY SETTLEMENT UTR000400085,2
STL-BULK01,2026-08-24,,UTR000850001,1655.56,BANK,NEFT CR-DELHIVERY COD REMIT-UTR000850001,1
STL-00073,2026-08-03,pay_000073C,UTR000400073,9999.99,RAZORPAY,RAZORPAY SETTLEMENT UTR000400073,2
STL-00041,2026-08-03,pay_000041B,UTR000400041,2455.27,RAZORPAY,RAZORPAY SETTLEMENT UTR000400041,1
STL-00093,2026-08-22,pay_000093F,UTR000400093,2088.90,RAZORPAY,RAZORPAY SETTLEMENT UTR000400093,2
STL-00070,2026-08-13,pay_000070D,UTR000400070,6384.96,RAZORPAY,RAZORPAY SETTLEMENT UTR000400070,2
STL-00007,2026-08-17,pay_000007A,UTR000400007,9999.99,RAZORPAY,RAZORPAY SETTLEMENT UTR000400007,1
