record_id,tier,tier_name,status,reason,reason_label,fee_type,expected,received,delta,amount_at_risk,priority,explanation,matched_settlement,age_days,ai_assisted,confidence,ai_evidence,ai_recommendation,candidates
STL-SHADOW02,5,Unmatched - exception,EXCEPTION,R3_UNMATCHED_AMBIGUOUS,Unmatched / ambiguous,,0.00,9999.99,9999.99,9999.99,High,"Credit of Rs 9,999.99 in the feed with no order behind it. Narration: RAZORPAY SETTLEMENT UTR000800002",STL-SHADOW02,,False,,[],,[]
ORD-00004,5,Unmatched - exception,EXCEPTION,R3_UNMATCHED_AMBIGUOUS,Unmatched / ambiguous,,9999.50,0.00,0.00,9999.50,High,No settlement in the feed carries pay_000004B. The full order value is unaccounted for.,,22.0,False,,[],,[]
STL-X1001,5,Unmatched - exception,EXCEPTION,R3_UNMATCHED_AMBIGUOUS,Unmatched / ambiguous,,0.00,8420.00,8420.00,8420.00,High,"Credit of Rs 8,420.00 in the feed with no order behind it. Narration: NEFT CR-STRIPE PAYMENTS-UTR000700101",STL-X1001,,False,,[],,[]
ORD-00078,5,Unmatched - exception,EXCEPTION,R3_UNMATCHED_AMBIGUOUS,Unmatched / ambiguous,,6499.50,0.00,0.00,6499.50,High,No settlement in the feed carries pay_000078D. The full order value is unaccounted for.,,30.0,False,,[],,[]
ORD-00014,5,Unmatched - exception,EXCEPTION,R3_UNMATCHED_AMBIGUOUS,Unmatched / ambiguous,,6499.00,0.00,0.00,6499.00,High,"2 settlements claim pay_000014C (STL-00014, STL-00014-D). Refusing to pick one; a wrong match here books the wrong revenue.",,29.0,False,,[],,"[{'settlement_id': 'STL-00014', 'amount_paise': 649900, 'settled_on': '2026-08-04', 'narration': 'RAZORPAY SETTLEMENT UTR000400014'}, {'settlement_id': 'STL-00014-D', 'amount_paise': 649900, 'settled_on': '2026-08-05', 'narration': 'RAZORPAY SETTLEMENT REPOST UTR000400014'}]"
ORD-00049,5,Unmatched - exception,EXCEPTION,R3_UNMATCHED_AMBIGUOUS,Unmatched / ambiguous,,6499.00,0.00,0.00,6499.00,High,No settlement in the feed carries pay_000049C. The full order value is unaccounted for.,,14.0,False,,[],,[]
STL-X2002,5,Unmatched - exception,EXCEPTION,R3_UNMATCHED_AMBIGUOUS,Unmatched / ambiguous,,0.00,6160.00,6160.00,6160.00,High,"Credit of Rs 6,160.00 in the feed with no order behind it. Narration: IMPS/UTR000700202/MISC CREDIT",STL-X2002,,False,,[],,[]
STL-X1002,5,Unmatched - exception,EXCEPTION,R3_UNMATCHED_AMBIGUOUS,Unmatched / ambiguous,,0.00,5764.00,5764.00,5764.00,High,"Credit of Rs 5,764.00 in the feed with no order behind it. Narration: NEFT CR-UNKNOWN REMITTER-UTR000700102",STL-X1002,,False,,[],,[]
ORD-00079,5,Unmatched - exception,EXCEPTION,R3_UNMATCHED_AMBIGUOUS,Unmatched / ambiguous,,3999.50,0.00,0.00,3999.50,Medium,No settlement in the feed carries pay_000079F. The full order value is unaccounted for.,,30.0,False,,[],,[]
STL-BULK02,5,Unmatched - exception,EXCEPTION,R3_UNMATCHED_AMBIGUOUS,Unmatched / ambiguous,,0.00,3410.56,3410.56,3410.56,Medium,"Credit of Rs 3,410.56 in the feed with no order behind it. Narration: IMPS/BLUEDART/COD-SETL/BATCH02",STL-BULK02,,False,,[],,[]
STL-X2001,5,Unmatched - exception,EXCEPTION,R3_UNMATCHED_AMBIGUOUS,Unmatched / ambiguous,,0.00,2991.00,2991.00,2991.00,Medium,"Credit of Rs 2,991.00 in the feed with no order behind it. Narration: IMPS/UTR000700201/MISC CREDIT",STL-X2001,,False,,[],,[]
ORD-00024,3,Variance - AI diagnostic,MANUAL_REVIEW,R4_PARTIAL_PAYMENT,Partial payment,,3999.99,2000.00,-1999.99,1999.99,Medium,"Settled Rs 1,999.99 short, 50.0% of order value. Far outside the Rs 79.99 fee band. Shape is consistent with a refund or chargeback netted off the same reference. Verify before clearing.",STL-00024,24.0,True,,[],,[]
STL-BULK01,5,Unmatched - exception,EXCEPTION,R3_UNMATCHED_AMBIGUOUS,Unmatched / ambiguous,,0.00,1655.56,1655.56,1655.56,Medium,"Credit of Rs 1,655.56 in the feed with no order behind it. Narration: NEFT CR-DELHIVERY COD REMIT-UTR000850001",STL-BULK01,,False,,[],,[]
ORD-00008,0,COD timing pre-check,EXCEPTION,R2_REMITTANCE_OVERDUE,Remittance overdue,,1249.99,0.00,0.00,1249.99,Medium,COD order is 28 days old with no courier remittance. Past the 14-day threshold; chase the courier.,,28.0,False,,[],,[]
STL-SHADOW01,5,Unmatched - exception,EXCEPTION,R3_UNMATCHED_AMBIGUOUS,Unmatched / ambiguous,,0.00,1249.99,1249.99,1249.99,Medium,"Credit of Rs 1,249.99 in the feed with no order behind it. Narration: RAZORPAY SETTLEMENT UTR000800001",STL-SHADOW01,,False,,[],,[]
ORD-00039,3,Variance - AI diagnostic,MANUAL_REVIEW,R5_AI_VARIANCE,Large variance flagged by AI,,9999.50,10999.45,999.95,999.95,Low,Received Rs 999.95 more than the order value (10.0% over) on a matched reference. Overpayment of this shape is usually a duplicate capture or a misapplied credit. Route to gateway ops.,STL-00039,10.0,True,,[],,[]
ORD-BULK101,0,COD timing pre-check,EXCEPTION,R2_REMITTANCE_OVERDUE,Remittance overdue,,999.00,0.00,0.00,999.00,Low,COD order is 15 days old with no courier remittance. Past the 14-day threshold; chase the courier.,,15.0,False,,[],,[]
ORD-BULK102,0,COD timing pre-check,EXCEPTION,R2_REMITTANCE_OVERDUE,Remittance overdue,,699.00,0.00,0.00,699.00,Low,COD order is 15 days old with no courier remittance. Past the 14-day threshold; chase the courier.,,15.0,False,,[],,[]
ORD-00051,5,Unmatched - exception,EXCEPTION,R3_UNMATCHED_AMBIGUOUS,Unmatched / ambiguous,,599.50,0.00,0.00,599.50,Low,"2 settlements claim pay_000051A (STL-00051-D, STL-00051). Refusing to pick one; a wrong match here books the wrong revenue.",,20.0,False,,[],,"[{'settlement_id': 'STL-00051-D', 'amount_paise': 59950, 'settled_on': '2026-08-14', 'narration': 'RAZORPAY SETTLEMENT REPOST UTR000400051'}, {'settlement_id': 'STL-00051', 'amount_paise': 59950, 'settled_on': '2026-08-13', 'narration': 'RAZORPAY SETTLEMENT UTR000400051'}]"
ORD-00002,5,Unmatched - exception,EXCEPTION,R3_UNMATCHED_AMBIGUOUS,Unmatched / ambiguous,,349.50,0.00,0.00,349.50,Low,No settlement in the feed carries pay_000002F. The full order value is unaccounted for.,,28.0,False,,[],,[]
ORD-00097,0,COD timing pre-check,EXCEPTION,R2_REMITTANCE_OVERDUE,Remittance overdue,,349.50,0.00,0.00,349.50,Low,COD order is 21 days old with no courier remittance. Past the 14-day threshold; chase the courier.,,21.0,False,,[],,[]
ORD-00016,4,UTR fallback match,MANUAL_REVIEW,R4_PARTIAL_PAYMENT,Partial payment,,2499.50,2231.63,-267.87,267.87,Low,"COD remittance is Rs 267.87 short (10.7% of order value), beyond the Rs 62.48 collection-fee band for this order. Not explainable as a standard courier fee; raise with the courier.",STL-00016,31.0,True,,[],,[]
ORD-00013,3,Variance - AI diagnostic,MANUAL_REVIEW,R4_PARTIAL_PAYMENT,Partial payment,,599.99,360.00,-239.99,239.99,Low,"Settled Rs 239.99 short, 40.0% of order value. Far outside the Rs 11.99 fee band. Shape is consistent with a refund or chargeback netted off the same reference. Verify before clearing.",STL-00013,19.0,True,,[],,[]
